time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,17.418,28.187,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2510,19.013,0.512,13.987,17.43,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2520,19.057,0.059,13.943,17.439,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2530,19.13,0.013,13.87,17.446,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2540,19.234,0.011,13.766,17.453,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2550,19.367,0.014,13.633,17.462,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2560,19.531,0.017,13.469,17.471,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2570,19.724,0.02,13.276,17.475,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2580,19.937,0.021,13.063,17.48,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2590,20.137,0.02,12.863,17.489,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2600,20.327,0.019,12.673,17.498,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2610,20.512,0.018,12.488,17.509,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2620,20.688,0.017,12.312,17.519,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
2630,20.85,0.016,12.15,14.826,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2640,20.999,0.015,12.001,14.833,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2650,21.133,0.013,11.867,14.845,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2660,21.262,0.013,11.738,14.864,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2670,21.384,0.012,11.616,14.887,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2680,21.493,0.011,11.507,14.916,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2690,21.584,0.009,11.416,14.95,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2700,21.665,0.008,11.335,14.988,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2710,21.746,0.008,11.254,15.023,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2720,21.819,0.007,11.181,15.057,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2730,21.881,0.006,11.119,15.094,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2740,21.92,0.004,11.08,15.133,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2750,21.94,0.002,11.06,15.175,30.2,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2760,21.956,0.002,11.044,15.215,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2770,21.963,0.001,11.037,15.253,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2780,21.957,-0.001,11.043,15.291,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2790,21.943,-0.001,11.057,15.331,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2800,21.913,-0.003,11.087,15.372,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2810,21.877,-0.004,11.123,15.409,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2820,21.831,-0.005,11.169,15.444,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2830,21.781,-0.005,11.219,15.481,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2840,21.726,-0.006,11.274,15.519,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2850,21.659,-0.007,11.341,15.559,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
2860,21.601,-0.006,11.399,15.593,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
