time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,17.845,27.18,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
260,20.347,0.676,12.653,17.595,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
270,22.567,0.259,10.433,17.399,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
280,23.885,0.131,9.115,14.788,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
290,24.074,0.018,8.926,14.952,32.214,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
300,23.23,-0.076,9.77,13.32,33.22,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
310,21.805,-0.139,11.195,13.78,33.22,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
320,20.422,-0.138,12.578,14.321,34.227,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
330,19.613,-0.074,13.387,14.837,35.234,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
340,18.839,-0.078,14.161,15.237,35.234,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
350,18.168,-0.06,14.832,14.205,36.24,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
360,17.684,-0.06,15.316,14.818,38.254,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
370,17.415,-0.031,15.585,15.329,38.254,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
380,17.083,-0.036,15.917,15.794,40.267,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
390,16.848,-0.021,16.152,16.183,40.267,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
400,16.654,-0.027,16.346,16.751,42.28,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
410,16.596,-0.001,16.404,16.967,43.287,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
420,16.664,0.004,16.336,17.121,44.294,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
430,16.816,0.016,16.184,17.522,45.3,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
440,16.885,0.005,16.115,17.557,46.307,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
450,16.944,0.005,16.056,17.619,47.314,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
460,16.928,-0.006,16.072,17.671,49.327,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
470,16.719,-0.018,16.281,17.364,50.334,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
480,16.597,-0.011,16.403,16.135,52.347,0.0,1,11,0,0,0,0,0,0,0,NO_CONTROL
