time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,17.908,27.18,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.267,0.536,13.733,17.844,28.187,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2520,19.559,0.083,13.441,17.762,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2530,19.845,0.034,13.155,17.678,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2540,20.126,0.029,12.874,17.595,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2550,20.4,0.027,12.6,17.512,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2560,20.642,0.024,12.358,17.428,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2570,20.868,0.023,12.132,17.345,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2580,21.08,0.021,11.92,17.259,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2590,21.276,0.019,11.724,17.173,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2600,21.449,0.017,11.551,17.087,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2610,21.605,0.016,11.395,17.002,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2620,21.746,0.014,11.254,16.916,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2630,21.87,0.012,11.13,16.831,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2640,21.978,0.011,11.022,16.748,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2650,22.033,0.005,10.967,16.663,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2660,22.056,0.002,10.944,16.577,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2670,22.069,0.001,10.931,16.492,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2680,22.06,-0.001,10.94,16.408,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2690,22.036,-0.002,10.964,16.326,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2700,22.024,-0.001,10.976,16.247,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2710,22.05,0.003,10.95,16.167,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2720,22.123,0.009,10.877,16.089,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2730,22.36,0.022,10.64,16.011,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2740,22.591,0.023,10.409,15.933,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2750,22.802,0.021,10.198,15.76,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2760,22.987,0.018,10.013,15.499,30.2,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2770,23.144,0.016,9.856,15.298,30.2,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2780,23.27,0.012,9.73,15.142,30.2,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2790,23.364,0.009,9.636,15.0,30.2,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2800,23.417,0.005,9.583,14.871,30.2,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2810,23.064,-0.037,9.936,14.754,30.2,0.0,0,5,3,1,3,1,2,1,0,CLEARING_PATH
2820,22.614,-0.044,10.386,14.647,30.2,0.0,0,5,3,1,3,1,2,1,0,CLEARING_PATH
2830,22.164,-0.045,10.836,12.225,31.207,0.0,0,6,3,0,3,1,2,1,0,CLEARING_PATH
2840,21.714,-0.045,11.286,12.163,31.207,0.0,0,6,2,0,3,1,1,0,0,CLEARING_PATH
2850,21.538,-0.022,11.462,12.12,31.207,0.0,0,6,2,0,3,0,2,0,0,CLEARING_PATH
2860,21.281,-0.027,11.719,12.092,31.207,0.0,0,6,2,0,3,0,2,0,0,CLEARING_PATH
2870,21.143,-0.009,11.857,12.076,31.207,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2880,21.111,-0.004,11.889,12.073,31.207,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2890,21.066,-0.005,11.934,12.079,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2900,21.002,-0.007,11.998,12.097,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2910,20.915,-0.009,12.085,12.126,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2920,20.826,-0.008,12.174,12.162,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2930,20.794,-0.003,12.206,12.204,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2940,20.808,0.001,12.192,12.252,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2950,20.852,0.005,12.148,12.302,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2960,20.926,0.008,12.074,12.355,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2970,21.03,0.011,11.97,12.412,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2980,21.165,0.014,11.835,12.47,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
2990,21.329,0.017,11.671,12.532,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3000,21.523,0.02,11.477,12.6,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3010,21.747,0.023,11.253,12.672,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3020,21.997,0.025,11.003,12.748,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3030,22.246,0.025,10.754,12.826,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3040,22.351,-0.001,10.649,12.904,32.214,0.0,0,6,2,0,3,0,2,1,0,CLEARING_PATH
3050,21.901,-0.04,11.099,12.983,32.214,0.0,0,6,1,0,3,0,1,1,0,CLEARING_PATH
3060,21.451,-0.044,11.549,13.056,32.214,0.0,0,6,1,0,3,0,1,1,0,CLEARING_PATH
3070,21.001,-0.045,11.999,13.123,32.214,0.0,0,6,1,0,3,0,1,1,0,CLEARING_PATH
3080,20.552,-0.045,12.448,13.187,32.214,0.0,0,6,0,0,3,0,0,0,0,CRUISING
3090,20.141,-0.041,12.859,11.438,33.22,0.0,0,7,0,0,3,0,0,0,0,CRUISING
3100,19.79,-0.035,13.21,11.482,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3110,19.499,-0.029,13.501,11.53,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3120,19.268,-0.023,13.732,11.577,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3130,19.097,-0.017,13.903,11.62,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
