time,ambulance_speed,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled
2500,0.0,17.224,28.187,0.0,0,5
2510,32.685,17.152,29.194,0.0,0,5
2520,32.235,17.069,29.194,0.0,0,5
2530,31.785,16.99,29.194,0.0,0,5
2540,31.335,16.914,29.194,0.0,0,5
2550,30.885,16.837,29.194,0.0,0,5
2560,30.435,16.757,29.194,0.0,0,5
2570,29.985,16.672,29.194,0.0,0,5
2580,29.535,16.588,29.194,0.0,0,5
2590,29.085,16.508,29.194,0.0,0,5
2600,28.635,16.427,29.194,0.0,0,5
2610,28.185,16.337,29.194,0.0,0,5
2620,27.735,16.241,29.194,0.0,0,5
2630,27.285,16.147,29.194,0.0,0,5
2640,26.835,16.053,29.194,0.0,0,5
2650,26.385,15.96,29.194,0.0,0,5
2660,25.935,15.861,29.194,0.0,0,5
2670,25.485,15.753,29.194,0.0,0,5
2680,25.035,15.64,29.194,0.0,0,5
2690,24.585,15.528,29.194,0.0,0,5
2700,24.135,13.027,30.2,0.0,0,6
2710,23.685,12.939,30.2,0.0,0,6
2720,23.235,12.854,30.2,0.0,0,6
2730,22.785,12.773,30.2,0.0,0,6
2740,22.335,12.697,30.2,0.0,0,6
2750,21.885,12.626,30.2,0.0,0,6
2760,21.435,12.562,31.207,0.0,0,6
2770,20.985,12.503,31.207,0.0,0,6
2780,20.535,12.447,31.207,0.0,0,6
2790,20.085,12.45,31.207,0.0,0,6
2800,19.635,12.457,31.207,0.0,0,6
2810,19.185,12.459,31.207,0.0,0,6
2820,18.735,12.455,31.207,0.0,0,6
2830,18.285,12.444,31.207,0.0,0,6
2840,17.835,12.466,31.207,0.0,0,6
2850,17.385,12.495,31.207,0.0,0,6
2860,17.095,12.522,31.207,0.0,0,6
2870,17.442,12.55,31.207,0.0,0,6
2880,17.786,12.579,31.207,0.0,0,6
2890,18.127,12.611,32.214,0.0,0,6
2900,18.464,12.642,32.214,0.0,0,6
2910,18.799,12.665,32.214,0.0,0,6
2920,19.13,12.678,32.214,0.0,0,6
2930,19.458,12.695,32.214,0.0,0,6
2940,19.782,12.717,32.214,0.0,0,6
2950,20.103,11.007,33.22,0.0,0,7
2960,20.42,11.003,33.22,0.0,0,7
2970,20.732,11.011,33.22,0.0,0,7
2980,21.04,11.028,33.22,0.0,0,7
2990,21.344,11.041,33.22,0.0,0,7
3000,21.643,11.044,33.22,0.0,0,7
3010,21.938,11.053,33.22,0.0,0,7
3020,22.229,11.068,33.22,0.0,0,7
