time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,17.484,27.18,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.244,0.533,13.756,17.405,28.187,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2520,19.508,0.081,13.492,17.309,28.187,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2530,19.763,0.031,13.237,17.214,28.187,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2540,20.012,0.026,12.988,17.118,28.187,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2550,20.253,0.024,12.747,17.024,28.187,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2560,20.451,0.02,12.549,16.932,29.194,0.0,1,5,4,3,4,2,2,0,0,CLEARING_PATH
2570,20.63,0.018,12.37,16.842,29.194,0.0,1,5,4,3,4,2,2,1,0,CLEARING_PATH
2580,20.782,0.015,12.218,16.75,29.194,0.0,1,5,4,3,4,2,2,1,0,CLEARING_PATH
2590,20.904,0.012,12.096,16.658,29.194,0.0,1,5,4,3,4,2,2,1,0,CLEARING_PATH
2600,21.001,0.01,11.999,16.567,29.194,0.0,0,5,5,4,5,3,2,1,0,CLEARING_PATH
2610,21.083,0.008,11.917,16.478,29.194,0.0,0,5,4,3,5,2,2,1,0,CLEARING_PATH
2620,21.127,0.004,11.873,16.389,29.194,0.0,0,5,4,3,5,2,2,1,0,CLEARING_PATH
2630,21.137,0.001,11.863,16.302,29.194,0.0,0,5,4,2,5,2,2,1,0,CLEARING_PATH
2640,21.125,-0.001,11.875,16.217,29.194,0.0,0,5,4,2,5,2,2,1,0,CLEARING_PATH
2650,21.104,-0.002,11.896,16.132,29.194,0.0,0,5,4,2,5,2,2,1,0,CLEARING_PATH
2660,21.062,-0.004,11.938,16.048,29.194,0.0,0,5,4,2,5,2,2,1,0,CLEARING_PATH
2670,20.995,-0.007,12.005,15.963,29.194,0.0,0,5,4,2,5,2,2,1,0,CLEARING_PATH
2680,20.913,-0.008,12.087,15.878,29.194,0.0,0,5,4,3,5,2,2,1,0,CLEARING_PATH
2690,20.812,-0.01,12.188,15.794,29.194,0.0,0,5,4,3,5,2,2,1,0,CLEARING_PATH
2700,20.687,-0.013,12.313,15.712,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2710,20.53,-0.016,12.47,15.632,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2720,20.08,-0.042,12.92,15.554,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2730,19.63,-0.045,13.37,15.476,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2740,19.18,-0.045,13.82,15.396,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2750,18.73,-0.045,14.27,15.314,29.194,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2760,18.28,-0.045,14.72,15.237,30.2,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2770,17.83,-0.045,15.17,15.16,30.2,0.0,0,5,4,2,5,1,3,1,0,CLEARING_PATH
2780,17.38,-0.045,15.62,15.086,30.2,0.0,0,5,4,1,5,1,3,1,0,CLEARING_PATH
2790,16.93,-0.045,16.07,15.079,30.2,0.0,0,5,4,0,5,1,3,1,0,CLEARING_PATH
2800,16.48,-0.045,16.52,15.064,30.2,0.0,0,5,4,0,5,1,3,1,0,CLEARING_PATH
2810,16.03,-0.045,16.97,15.042,30.2,0.0,0,5,4,0,5,1,3,1,0,CLEARING_PATH
2820,15.58,-0.045,17.42,14.858,30.2,0.0,0,5,4,0,5,1,3,1,0,CLEARING_PATH
2830,15.13,-0.045,17.87,14.659,30.2,0.0,0,5,4,0,5,1,3,1,0,CLEARING_PATH
2840,14.7,-0.042,18.3,14.504,30.2,0.0,0,5,3,0,5,1,2,0,0,CLEARING_PATH
2850,14.311,-0.039,18.689,14.361,30.2,0.0,0,5,3,0,5,1,2,0,0,CLEARING_PATH
2860,13.901,-0.041,19.099,14.231,30.2,0.0,0,5,3,0,5,1,2,0,0,CLEARING_PATH
2870,13.475,-0.043,19.525,14.114,30.2,0.0,0,5,3,0,5,1,2,0,0,CLEARING_PATH
2880,13.104,-0.034,19.896,14.02,30.2,0.0,0,5,3,0,5,1,2,0,0,CLEARING_PATH
2890,12.842,-0.027,20.158,11.798,32.214,0.0,0,6,3,0,5,1,2,0,0,CLEARING_PATH
