time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,17.049,27.18,0.0,0,5,0,0,0,0,0,0,0,CRUISING
260,20.593,0.635,12.407,16.398,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
270,19.857,-0.037,13.143,12.654,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
280,18.917,-0.117,14.083,11.458,31.207,0.0,0,6,3,1,3,0,3,2,0,CLEARING_PATH
290,15.313,-0.373,17.687,11.842,32.214,0.0,0,6,2,0,3,0,2,2,0,CLEARING_PATH
300,14.55,-0.118,18.45,12.291,32.214,0.0,0,6,1,0,3,0,1,1,0,CLEARING_PATH
310,12.205,-0.178,20.795,10.788,33.22,0.0,0,7,1,0,3,0,1,1,0,CLEARING_PATH
320,15.579,0.264,17.421,11.079,34.227,0.0,0,7,0,0,3,0,0,0,0,CRUISING
330,18.793,0.31,14.207,11.478,34.227,0.0,0,7,0,0,3,0,0,0,0,CRUISING
340,21.607,0.276,11.393,11.965,35.234,0.0,0,7,0,0,3,0,0,0,0,CRUISING
350,23.949,0.231,9.051,12.441,35.234,0.0,0,7,1,1,4,1,0,0,0,CLEARING_PATH
360,25.398,0.128,7.602,12.868,37.247,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
370,24.308,-0.121,8.692,11.975,38.254,0.0,0,8,1,0,4,0,1,0,0,CLEARING_PATH
380,25.211,0.119,7.789,12.411,39.26,0.0,0,8,1,0,4,0,1,0,0,CLEARING_PATH
390,27.418,0.202,5.582,12.823,40.267,0.0,0,8,1,0,5,0,1,0,0,CLEARING_PATH
400,29.119,0.167,3.881,13.805,41.274,0.0,0,9,0,0,5,0,0,0,0,CRUISING
410,30.437,0.129,2.563,13.748,43.287,0.0,0,9,0,0,5,0,0,0,0,CRUISING
420,31.31,0.085,1.69,13.531,43.287,0.0,0,9,1,0,5,0,1,0,0,CLEARING_PATH
430,31.698,0.033,1.302,13.561,45.3,0.0,0,10,2,2,6,1,1,1,0,CLEARING_PATH
440,29.406,-0.289,3.594,13.314,46.307,0.0,0,10,2,1,6,0,2,1,0,CLEARING_PATH
450,25.565,-0.301,7.435,12.722,47.314,0.0,0,10,1,0,6,0,1,0,0,CLEARING_PATH
460,26.495,0.098,6.505,12.385,49.327,0.0,0,10,1,0,6,0,1,1,0,CLEARING_PATH
470,28.331,0.168,4.669,12.513,50.334,0.0,0,10,1,1,7,0,1,1,0,CLEARING_PATH
480,29.655,0.126,3.345,12.608,50.334,0.0,0,10,2,1,7,0,2,1,0,CLEARING_PATH
490,26.96,-0.191,6.04,12.73,51.34,0.0,0,10,1,0,8,0,1,0,0,CLEARING_PATH
500,27.727,0.059,5.273,12.663,53.354,0.0,0,10,1,1,9,1,0,0,0,CLEARING_PATH
510,26.991,-0.106,6.009,13.091,54.36,0.0,0,11,1,0,9,0,1,0,0,CLEARING_PATH
520,24.269,-0.237,8.731,12.607,55.367,0.0,0,11,2,1,9,0,2,1,0,CLEARING_PATH
530,25.2,0.109,7.8,11.201,55.367,0.0,0,11,1,0,9,0,1,1,0,CLEARING_PATH
540,22.285,-0.233,10.715,10.12,57.38,0.0,0,12,0,0,9,0,0,0,0,CRUISING
550,23.245,0.112,9.755,10.048,57.38,0.0,0,12,0,0,9,0,0,0,0,CRUISING
560,25.746,0.228,7.254,10.209,60.4,0.0,0,12,0,0,9,0,0,0,0,CRUISING
570,27.734,0.194,5.266,10.193,61.407,0.017,2,12,0,0,9,0,0,0,0,CRUISING
580,29.238,0.148,3.762,10.106,61.407,0.1,2,12,0,0,9,0,0,0,0,CRUISING
590,30.302,0.105,2.698,10.005,61.407,0.183,4,12,0,0,9,0,0,0,0,CRUISING
600,30.815,0.044,2.185,9.889,63.42,0.267,4,12,0,0,9,0,0,0,0,CRUISING
610,29.687,-0.129,3.313,9.154,66.441,0.323,4,13,1,1,10,1,0,0,0,CLEARING_PATH
620,25.971,-0.379,7.029,8.956,66.441,0.4,4,13,4,1,10,3,1,0,0,CLEARING_PATH
630,21.471,-0.442,11.529,8.663,66.441,0.477,4,13,4,0,10,3,1,0,3,INTERSECTION_CONTROL
640,16.971,-0.449,16.029,8.406,68.454,0.0,3,13,4,0,10,3,1,1,13,INTERSECTION_CONTROL
650,12.471,-0.45,20.529,8.86,67.447,0.0,3,12,3,0,10,1,2,2,23,INTERSECTION_CONTROL
660,7.971,-0.45,25.029,8.532,68.454,0.0,3,13,0,0,10,0,0,0,33,INTERSECTION_CONTROL
670,3.021,-0.462,29.979,7.0,139.018,0.0,0,1,2,0,12,2,0,0,33,CLEARING_PATH
680,2.535,0.021,30.465,0.0,92.678,0.0,0,0,1,0,12,0,1,1,33,CLEARING_PATH
690,5.834,0.311,27.166,0.0,46.339,0.0,0,0,0,0,12,0,0,0,33,CRUISING
700,9.44,0.357,23.56,0.0,46.339,0.0,0,0,0,0,12,0,0,0,33,CRUISING
710,13.15,0.368,19.85,9.941,62.094,4.4,9,6,2,0,12,0,2,1,33,CLEARING_PATH
720,16.806,0.367,16.194,8.607,62.094,4.567,9,6,2,0,12,0,2,1,33,CLEARING_PATH
730,16.329,-0.185,16.671,8.442,64.312,4.733,9,6,2,0,12,0,2,1,33,CLEARING_PATH
