time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,19.097,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.258,0.535,13.742,18.972,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2520,19.539,0.082,13.461,18.826,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2530,19.813,0.033,13.187,18.686,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2540,20.08,0.027,12.92,18.558,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2550,20.34,0.026,12.66,18.442,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2560,20.567,0.023,12.433,18.318,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2570,20.774,0.021,12.226,18.197,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2580,20.965,0.019,12.035,18.077,29.194,0.0,0,5,3,1,2,1,2,0,0,CLEARING_PATH
2590,21.134,0.017,11.866,15.226,30.2,0.0,0,6,3,1,2,1,2,0,0,CLEARING_PATH
2600,21.281,0.015,11.719,15.136,30.2,0.0,0,6,3,1,2,1,2,0,0,CLEARING_PATH
2610,21.406,0.012,11.594,15.046,30.2,0.0,0,6,2,1,2,1,1,0,0,CLEARING_PATH
2620,21.505,0.01,11.495,14.96,30.2,0.0,0,6,2,1,2,1,1,0,0,CLEARING_PATH
2630,21.574,0.007,11.426,14.882,30.2,0.0,0,6,2,1,2,1,1,0,0,CLEARING_PATH
2640,21.609,0.004,11.391,14.813,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2650,21.627,0.001,11.373,14.749,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2660,21.613,-0.002,11.387,14.687,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2670,21.56,-0.005,11.44,14.625,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2680,21.488,-0.007,11.512,14.566,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2690,21.399,-0.009,11.601,14.512,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2700,21.293,-0.011,11.707,14.462,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2710,21.173,-0.012,11.827,14.408,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2720,21.046,-0.013,11.954,14.354,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2730,20.924,-0.012,12.076,14.3,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2740,20.859,-0.006,12.141,14.232,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2750,20.851,-0.001,12.149,14.234,30.2,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2760,20.878,0.003,12.122,14.251,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2770,20.934,0.006,12.066,14.271,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2780,21.021,0.009,11.979,14.289,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2790,21.138,0.012,11.862,14.306,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2800,21.285,0.015,11.715,14.32,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2810,21.516,0.024,11.484,14.331,31.207,0.0,0,6,4,2,4,1,3,1,0,CLEARING_PATH
2820,21.784,0.026,11.216,14.344,31.207,0.0,0,6,4,2,4,1,3,1,0,CLEARING_PATH
2830,22.043,0.026,10.957,12.319,32.214,0.004,1,7,4,2,4,1,3,1,0,CLEARING_PATH
2840,22.29,0.025,10.71,12.331,32.214,0.019,1,7,4,2,4,1,3,1,0,CLEARING_PATH
2850,22.523,0.023,10.477,12.343,32.214,0.033,1,7,4,2,4,1,3,1,0,CLEARING_PATH
2860,22.74,0.022,10.26,12.356,32.214,0.0,0,7,4,2,4,1,3,2,0,CLEARING_PATH
2870,22.944,0.02,10.056,12.371,32.214,0.0,0,7,4,2,4,1,3,2,0,CLEARING_PATH
2880,23.111,0.016,9.889,12.39,32.214,0.0,0,7,4,2,4,1,3,2,0,CLEARING_PATH
2890,23.129,-0.007,9.871,12.413,33.22,0.0,0,7,4,2,4,1,3,2,0,CLEARING_PATH
2900,22.679,-0.041,10.321,12.445,33.22,0.0,0,7,4,1,4,1,3,2,0,CLEARING_PATH
2910,22.229,-0.045,10.771,12.457,33.22,0.0,0,7,4,0,4,0,4,2,0,CLEARING_PATH
2920,21.779,-0.045,11.221,12.445,33.22,0.0,0,7,4,0,4,0,4,2,0,CLEARING_PATH
2930,21.333,-0.044,11.667,12.42,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2940,20.934,-0.039,12.066,12.394,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2950,20.595,-0.034,12.405,12.36,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2960,20.316,-0.028,12.684,12.335,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2970,20.097,-0.022,12.903,12.323,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2980,20.085,-0.002,12.915,12.32,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2990,20.122,0.004,12.878,12.277,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3000,20.189,0.007,12.811,12.247,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3010,20.285,0.01,12.715,12.232,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3020,20.412,0.013,12.588,12.236,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3030,20.323,-0.021,12.677,12.251,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3040,19.873,-0.042,13.127,12.195,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3050,19.423,-0.045,13.577,12.156,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3060,18.994,-0.042,14.006,12.133,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3070,18.625,-0.037,14.375,12.13,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3080,18.316,-0.031,14.684,12.138,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3090,18.067,-0.025,14.933,12.11,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3100,17.878,-0.019,15.122,12.101,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3110,17.749,-0.013,15.251,12.109,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3120,17.68,-0.007,15.32,12.134,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3130,17.669,-0.001,15.331,12.167,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3140,17.695,0.003,15.305,12.161,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3150,17.75,0.006,15.25,12.166,34.227,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3160,17.836,0.009,15.164,12.181,34.227,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3170,17.951,0.012,15.049,12.21,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3180,18.097,0.015,14.903,12.251,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3190,18.272,0.018,14.728,12.267,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3200,18.478,0.021,14.522,12.294,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3210,18.713,0.024,14.287,12.331,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3220,18.979,0.027,14.021,12.378,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3230,19.274,0.03,13.726,12.427,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3240,19.598,0.032,13.402,12.457,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3250,19.924,0.033,13.076,12.497,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3260,20.248,0.032,12.752,12.543,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3270,20.572,0.032,12.428,12.595,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3280,20.887,0.032,12.113,12.648,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3290,21.197,0.031,11.803,12.688,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3300,21.502,0.03,11.498,12.733,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3310,21.799,0.03,11.201,12.78,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3320,22.091,0.029,10.909,12.831,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3330,22.374,0.028,10.626,12.883,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3340,22.65,0.028,10.35,12.922,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3350,22.922,0.027,10.078,12.965,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3360,23.189,0.027,9.811,13.011,35.234,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3370,23.452,0.026,9.548,13.059,35.234,0.0,0,7,1,0,4,0,1,1,0,CLEARING_PATH
3380,23.708,0.026,9.292,13.109,35.234,0.0,0,7,1,0,4,0,1,1,0,CLEARING_PATH
3390,23.957,0.025,9.043,11.673,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
3400,24.203,0.024,8.797,11.708,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
3410,24.029,-0.027,8.971,11.747,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
3420,23.579,-0.043,9.421,11.79,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
3430,23.129,-0.045,9.871,11.838,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
